timestamp,prompt,input_tokens,output_tokens,latency_seconds,cost_usd
2026-06-28T09:57:57.558250,Explain what an API is.,14,300,4.027,0.001514
2026-06-28T10:19:08.042430,Explain what an API is.,14,300,3.525,0.001514
2026-06-28T10:19:13.404369,What is a token in an LLM?,17,300,3.927,0.001517
2026-06-28T10:19:16.575169,Define latency in one sentence.,14,25,1.653,0.000139
2026-06-28T10:19:20.568329,What is JSON?,11,300,2.659,0.001511
2026-06-28T10:19:25.277548,Explain embeddings simply.,13,294,3.376,0.001483
2026-06-28T10:19:33.574558,What does a vector database do?,14,300,6.917,0.001514
2026-06-28T10:19:38.288984,Summarize what RAG is.,15,253,3.417,0.00128
2026-06-28T10:19:43.122187,What is fine-tuning?,14,300,3.54,0.001514
2026-06-28T10:19:47.808650,Explain temperature in LLMs.,15,300,3.396,0.001515
2026-06-28T10:19:52.722466,What is an AI agent?,13,293,3.593,0.001478
2026-06-28T10:19:57.110472,Define overfitting.,12,286,3.108,0.001442
2026-06-28T10:20:01.924062,What is gradient descent?,12,300,3.367,0.001512
2026-06-28T10:20:06.650788,Explain attention in transformers.,14,300,3.353,0.001514
2026-06-28T10:20:12.177348,What is a context window?,13,294,4.188,0.001483
2026-06-28T10:20:17.676725,Define a system prompt.,12,262,4.171,0.001322
2026-06-28T10:20:22.933248,What is prompt injection?,12,300,3.955,0.001512
2026-06-28T10:20:28.466216,Explain what an eval is.,14,270,4.236,0.001364
2026-06-28T10:20:33.380142,What is a hallucination in AI?,16,283,3.609,0.001431
2026-06-28T10:20:38.397131,Define inference in ML.,12,300,3.361,0.001512
2026-06-28T10:20:43.313408,What is quantization?,12,300,3.587,0.001512
